asd,co2,Columna1,Columna2,Columna2
41002001,0,,,
41002002,0,,,
41002003,0,,,
41002004,0,,,
41002005,0,,,
41002006,0,,,
41002007,0,,,
41002008,0,,,
41002009,0,,,
41002010,0,,,
41002011,0,,,
41002012,0,,,
41002013,0,,,
41002014,0,,,
41002015,0,,,
41002016,0,,,
41002017,0,,,
41002018,0,,,
41002019,0,,,
41002020,0,,,
41002021,0,,,
41002022,0,,,
41002023,0,,,
41002024,0,,,
41002025,0,,,
41002026,0,,,
41002027,0,,,
41002028,0,,,
41002029,0,,,
41002030,0,,,
41002031,0,,,
41002032,0,,,
41002033,0,,,
41002034,0,,,
41002035,0,,,
41002036,0,,,
41002037,0,,,
41002038,0,,,
41002039,0,,,
41002040,0,,,
41002041,0,,,
41002042,0,,,
41002043,0,,,
41002044,0,,,
41002045,0,,,
41002046,0,,,
41002047,0,,,
41002048,0,,,
41002049,0,,,
41002050,0,,,
41002051,0,,,
41002052,0,,,
41002053,0,,,
41002054,0,,,
41002055,0,,,
41002056,0,,,
41002057,0,,,
41002058,0,,,
41002059,0,,,
41002060,0,,,
41002061,0,,,
41002062,0,,,
41002063,0,,,
41002064,0,,,
41002065,0,,,
41002066,0,,,
41002067,0,,,
41002068,0,,,
41002069,0,,,
41002070,0,,,
41002071,0,,,
41002072,0,,,
41002073,0,,,
41002074,0,,,
41002075,0,,,
41002076,0,,,
41002077,0,,,
41002078,0,,,
41002079,0,,,
41002080,0,,,
41002081,0,,,
41002082,0,,,
41002083,0,,,
41002084,0,,,
41002085,0,,,
41002086,0,,,
41002087,0,,,
41002088,0,,,
41002089,0,,,
41002090,0,,,
41002091,0,,,
41002092,0,,,
41002093,0,,,
41002094,0,,,
41002095,0,,,
41002096,0,,,
41002097,0,,,
41002098,0,,,
41002099,0,,,
41002100,0,,,
41002101,0,,,
41002102,0,,,
41002103,0,,,
41002104,0,,,
41002105,0,,,
41002106,0,,,
41002107,0,,,
41002108,0,,,
41002109,0,,,
41002110,0,,,
41002111,0,,,
41002112,0,,,
41002113,0,,,
41002114,0,,,
41002115,0,,,
41002116,0,,,
41002117,0,,,
41002118,0,,,
41002119,0,,,
41002120,0,,,
41002121,0,,,
41002122,0,,,
41002123,0,,,
41002124,0,,,
41002125,0,,,
41002126,0,,,
41002127,0,,,
41002128,0,,,
41002129,0,,,
41002130,0,,,
41002131,0,,,
41002132,0,,,
41002133,0,,,
41002134,0,,,
41002135,0,,,
41002136,0,,,
41002137,0,,,
41002138,0,,,
41002139,0,,,
41002140,0,,,
41002141,0,,,
41002142,0,,,
41002143,0,,,
41002144,0,,,
41002145,0,,,
41002146,0,,,
41002147,0,,,
41002148,0,,,
41002149,0,,,
41002150,0,,,
41002151,0,,,
41002152,0,,,
41002153,0,,,
41002154,0,,,
41002155,0,,,
41002156,0,,,
41002157,0,,,
41002158,0,,,
41002159,0,,,
41002160,0,,,
41002161,0,,,
41002162,0,,,
41002163,0,,,
41002164,0,,,
41002165,0,,,
41002166,0,,,
41002167,0,,,
41002168,0,,,
41002169,0,,,
41002170,0,,,
41002171,0,,,
41002172,0,,,
41002173,0,,,
41002174,0,,,
41002175,0,,,
41002176,0,,,
41002177,0,,,
41002178,0,,,
41002179,0,,,
41002180,0,,,
41002181,0,,,
41002182,0,,,
41002183,0,,,
41002184,0,,,
41002185,0,,,
41002186,0,,,
41002187,0,,,
41002188,0,,,
41002189,0,,,
41002190,0,,,
41002191,0,,,
41002192,0,,,
41002193,0,,,
41002194,0,,,
41002195,0,,,
41002196,0,,,
41002197,0,,,
41002198,0,,,
41002199,0,,,
41002200,0,,,
41002201,0,,,
41002202,0,,,
41002203,0,,,
41002204,0,,,
41002205,0,,,
41002206,0,,,
41002207,0,,,
41002208,0,,,
