asd,co,Columna1,Columna2,Columna2
41202001,0,,,
41202002,0,,,
41202003,0,,,
41202004,0,,,
41202005,0,,,
41202006,0,,,
41202007,0,,,
41202008,0,,,
41202009,0,,,
41202010,0,,,
41202011,0,,,
41202012,0,,,
41202013,0,,,
41202014,0,,,
41202015,0,,,
41202016,0,,,
41202017,0,,,
41202018,0,,,
41202019,0,,,
41202020,0,,,
41202021,0,,,
41202022,0,,,
41202023,0,,,
41202024,0,,,
41202025,0,,,
41202026,0,,,
41202027,0,,,
41202028,0,,,
41202029,0,,,
41202030,0,,,
41202031,0,,,
41202032,0,,,
41202033,0,,,
41202034,0,,,
41202035,0,,,
41202036,0,,,
41202037,0,,,
41202038,0,,,
41202039,0,,,
41202040,0,,,
41202041,0,,,
41202042,0,,,
41202043,0,,,
41202044,0,,,
41202045,0,,,
41202046,0,,,
41202047,0,,,
41202048,0,,,
41202049,0,,,
41202050,0,,,
41202051,0,,,
41202052,0,,,
41202053,0,,,
41202054,0,,,
41202055,0,,,
41202056,0,,,
41202057,0,,,
41202058,0,,,
41202059,0,,,
41202060,0,,,
41202061,0,,,
41202062,0,,,
41202063,0,,,
41202064,0,,,
41202065,0,,,
41202066,0,,,
41202067,0,,,
41202068,0,,,
41202069,0,,,
41202070,0,,,
41202071,0,,,
41202072,0,,,
41202073,0,,,
41202074,0,,,
41202075,0,,,
41202076,0,,,
41202077,0,,,
41202078,0,,,
41202079,0,,,
41202080,0,,,
41202081,0,,,
41202082,0,,,
41202083,0,,,
41202084,0,,,
41202085,0,,,
41202086,0,,,
41202087,0,,,
41202088,0,,,
41202089,0,,,
41202090,0,,,
41202091,0,,,
41202092,0,,,
41202093,0,,,
41202094,0,,,
41202095,0,,,
41202096,0,,,
41202097,0,,,
41202098,0,,,
41202099,0,,,
41202100,0,,,
41202101,0,,,
41202102,0,,,
41202103,0,,,
41202104,0,,,
41202105,0,,,
41202106,0,,,
41202107,0,,,
41202108,0,,,
41202109,0,,,
41202110,0,,,
41202111,0,,,
41202112,0,,,
41202113,0,,,
41202114,0,,,
41202115,0,,,
41202116,0,,,
41202117,0,,,
41202118,0,,,
41202119,0,,,
41202120,0,,,
41202121,0,,,
41202122,0,,,
41202123,0,,,
41202124,0,,,
41202125,0,,,
41202126,0,,,
41202127,0,,,
41202128,0,,,
41202129,0,,,
41202130,0,,,
41202131,0,,,
41202132,0,,,
41202133,0,,,
41202134,0,,,
41202135,0,,,
41202136,0,,,
41202137,0,,,
41202138,0,,,
41202139,0,,,
41202140,0,,,
41202141,0,,,
41202142,0,,,
41202143,0,,,
41202144,0,,,
41202145,0,,,
41202146,0,,,
41202147,0,,,
41202148,0,,,
41202149,0,,,
41202150,0,,,
41202151,0,,,
41202152,0,,,
41202153,0,,,
41202154,0,,,
41202155,0,,,
41202156,0,,,
41202157,0,,,
41202158,0,,,
41202159,0,,,
41202160,0,,,
41202161,0,,,
41202162,0,,,
41202163,0,,,
41202164,0,,,
41202165,0,,,
41202166,0,,,
41202167,0,,,
41202168,0,,,
41202169,0,,,
41202170,0,,,
41202171,0,,,
41202172,0,,,
41202173,0,,,
