a,a,Columna1,Columna2,Columna2
46009569,27,,,
46009570,27,,,
46009571,27,,,
46009572,27,,,
46009573,27,,,
46009574,27,,,
46009575,27,,,
46009576,27,,,
46009577,27,,,
46009578,27,,,
46009579,27,,,
46009580,27,,,
46009581,27,,,
46009582,27,,,
46009583,27,,,
46009584,27,,,
46009585,27,,,
46009586,27,,,
46009587,27,,,
46009588,27,,,
46009589,27,,,
46009590,27,,,
46009591,27,,,
46009592,27,,,
46009593,27,,,
46009594,27,,,
46009595,27,,,
46009596,27,,,
46009597,27,,,
46009598,27,,,
46009599,27,,,
46009600,27,,,
46009601,27,,,
46009602,27,,,
46009603,27,,,
46009604,27,,,
46009605,27,,,
46009606,27,,,
46009607,27,,,
46009608,27,,,
46009609,27,,,
46009610,27,,,
46009611,27,,,
46009612,27,,,
46009613,27,,,
46009614,27,,,
46009615,27,,,
46009616,27,,,
46009617,27,,,
46009618,27,,,
46009619,27,,,
46009620,27,,,
46009621,27,,,
46009622,27,,,
46009623,27,,,
46009624,27,,,
46009625,27,,,
46009626,27,,,
46009627,27,,,
46009628,27,,,
46009629,27,,,
46009630,27,,,
46009631,27,,,
46009632,27,,,
46009633,27,,,
46009634,27,,,
46009635,27,,,
46009636,27,,,
46009637,27,,,
46009638,27,,,
46009639,27,,,
46009640,27,,,
46009641,27,,,
46009642,27,,,
46009643,27,,,
46009644,27,,,
46009645,27,,,
46009646,27,,,
46009647,27,,,
46009648,27,,,
46009649,27,,,
46009650,27,,,
46009651,27,,,
46009652,27,,,
46009653,27,,,
46009654,27,,,
46009655,27,,,
46009656,27,,,
46009657,27,,,
46009658,27,,,
46009659,27,,,
46009660,27,,,
46009661,27,,,
46009662,27,,,
46009663,27,,,
46009664,27,,,
46009665,27,,,
46009666,27,,,
46009667,27,,,
46009668,27,,,
46009669,27,,,
46009670,27,,,
46009671,27,,,
46009672,27,,,
46009673,27,,,
46009674,27,,,
46009675,27,,,
46009676,27,,,
46009677,27,,,
46009678,27,,,
46009679,27,,,
46009680,27,,,
46009681,27,,,
46009682,27,,,
46009683,27,,,
46009684,27,,,
46009685,27,,,
46009686,27,,,
46009687,27,,,
46009688,27,,,
46009689,27,,,
46009690,27,,,
46009691,27,,,
46009692,27,,,
46009693,27,,,
46009694,27,,,
46009695,27,,,
46009696,27,,,
46009697,27,,,
46009698,27,,,
46009699,27,,,
46009700,27,,,
46009701,27,,,
46009702,27,,,
46009703,27,,,
46009704,27,,,
46009705,27,,,
46009706,27,,,
46009707,27,,,
46009708,27,,,
46009709,27,,,
46009710,27,,,
46009711,27,,,
46009712,27,,,
46009713,27,,,
46009714,27,,,
46009715,27,,,
46009716,27,,,
46009717,27,,,
46009718,27,,,
46009719,27,,,
46009720,27,,,
46009721,27,,,
46009722,27,,,
46009723,27,,,
46009724,27,,,
46009725,27,,,
46009726,27,,,
46009727,27,,,
46009728,27,,,
46009729,27,,,
46009730,27,,,
46009731,27,,,
46009732,27,,,
46009733,27,,,
46009734,27,,,
46009735,27,,,
46009736,27,,,
46009737,27,,,
46009738,27,,,
46009739,27,,,
46009740,27,,,
46009741,27,,,
46009742,27,,,
46009743,27,,,
46009744,27,,,
46009745,27,,,
46009746,27,,,
46009747,27,,,
46009748,27,,,
46009749,27,,,
46009750,27,,,
46009751,27,,,
46009752,27,,,
46009753,27,,,
46009754,27,,,
46009755,27,,,
46009756,27,,,
46009757,27,,,
46009758,27,,,
46009759,27,,,
46009760,27,,,
46009761,27,,,
46009762,27,,,
46009763,27,,,
46009764,27,,,
46009765,27,,,
46009766,27,,,
46009767,27,,,
46009768,27,,,
46009769,27,,,
46009770,27,,,
46009771,27,,,
46009772,27,,,
46009773,27,,,
46009774,27,,,
46009775,27,,,
46009776,27,,,
46009777,27,,,
46009778,27,,,
46009779,27,,,
46009780,27,,,
46009781,27,,,
46009782,27,,,
