colum1,colum2,Columna1,Columna2,Columna2
08116539,2,,,
08116543,2,,,
08116586,2,,,
08116595,2,,,
08116606,2,,,
08116626,2,,,
08116689,2,,,
08116690,2,,,
08116712,2,,,
08116726,2,,,
08116739,2,,,
08116751,2,,,
08116765,2,,,
08116769,2,,,
08116770,2,,,
08116780,2,,,
08116791,2,,,
08116804,2,,,
08116805,2,,,
08116816,2,,,
08116829,2,,,
08116855,2,,,
08116866,2,,,
08116868,2,,,
08116875,2,,,
08116877,2,,,
08116881,2,,,
08116897,2,,,
08116906,2,,,
08116909,2,,,
08116927,2,,,
08116933,2,,,
08116934,2,,,
08116976,2,,,
08117036,2,,,
08117038,2,,,
08117040,2,,,
08117076,2,,,
08117077,2,,,
08117106,2,,,
08117116,2,,,
08117126,2,,,
08117148,2,,,
08117154,2,,,
08117168,2,,,
08117171,2,,,
08117172,2,,,
08117190,2,,,
08117205,2,,,
08117213,2,,,
08117215,2,,,
08117234,2,,,
08117257,2,,,
08117270,2,,,
08117272,2,,,
08117275,2,,,
08117300,2,,,
08117317,2,,,
08117320,2,,,
08117323,2,,,
08117346,2,,,
08117358,2,,,
08117365,2,,,
08117368,2,,,
08117371,2,,,
08117418,2,,,
08117462,2,,,
08117467,2,,,
08117490,2,,,
08117516,2,,,
08117522,2,,,
08117525,2,,,
08117528,2,,,
08117549,2,,,
08117567,2,,,
08117571,2,,,
08117579,2,,,
08117582,2,,,
08117583,2,,,
08117625,2,,,
08117643,2,,,
08117663,2,,,
08117676,2,,,
08117679,2,,,
08117685,2,,,
08117693,2,,,
08117711,2,,,
08117731,2,,,
08117763,2,,,
08117771,2,,,
08117777,2,,,
08117801,2,,,
08117806,2,,,
08117812,2,,,
08117833,2,,,
08117836,2,,,
08117850,2,,,
08117881,2,,,
08117897,2,,,
08117907,2,,,
08117952,2,,,
08117957,2,,,
08117964,2,,,
08117975,2,,,
08117976,2,,,
08117983,2,,,
08118003,2,,,
08118020,2,,,
08118046,2,,,
08118053,2,,,
08118057,2,,,
08118065,2,,,
08118066,2,,,
08118070,2,,,
08118090,2,,,
08118107,2,,,
08118109,2,,,
08118111,2,,,
08118121,2,,,
08118152,2,,,
08118182,2,,,
08118219,2,,,
08118244,2,,,
08118251,2,,,
08118258,2,,,
08118270,2,,,
