co1,co2,Columna1,Columna2,Columna2
47504001,0,,,
47504002,0,,,
47504003,0,,,
47504004,0,,,
47504005,0,,,
47504006,0,,,
47504007,0,,,
47504008,0,,,
47504009,0,,,
47504010,0,,,
47504011,0,,,
47504012,0,,,
47504013,0,,,
47504014,0,,,
47504015,0,,,
47504016,0,,,
47504017,0,,,
47504018,0,,,
47504019,0,,,
47504020,0,,,
47504021,0,,,
47504022,0,,,
47504023,0,,,
47504024,0,,,
47504025,0,,,
47504026,0,,,
47504027,0,,,
47504028,0,,,
47504029,0,,,
47504030,0,,,
47504031,0,,,
47504032,0,,,
47504033,0,,,
47504034,0,,,
47504035,0,,,
47504036,0,,,
47504037,0,,,
47504038,0,,,
47504039,0,,,
47504040,0,,,
47504041,0,,,
47504042,0,,,
47504043,0,,,
47504044,0,,,
47504045,0,,,
47504046,0,,,
47504047,0,,,
47504048,0,,,
47504049,0,,,
47504050,0,,,
47504051,0,,,
47504052,0,,,
47504053,0,,,
47504054,0,,,
47504055,0,,,
47504056,0,,,
47504057,0,,,
47504058,0,,,
47504059,0,,,
47504060,0,,,
47504061,0,,,
47504062,0,,,
47504063,0,,,
47504064,0,,,
47504065,0,,,
47504066,0,,,
47504067,0,,,
47504068,0,,,
47504069,0,,,
47504070,0,,,
47504071,0,,,
47504072,0,,,
47504073,0,,,
47504074,0,,,
47504075,0,,,
47504076,0,,,
47504077,0,,,
47504078,0,,,
47504079,0,,,
47504080,0,,,
47504081,0,,,
47504082,0,,,
47504083,0,,,
47504084,0,,,
47504085,0,,,
47504086,0,,,
47504087,0,,,
47504088,0,,,
47504089,0,,,
47504090,0,,,
47504091,0,,,
47504092,0,,,
47504093,0,,,
47504094,0,,,
47504095,0,,,
47504096,0,,,
47504097,0,,,
47504098,0,,,
47504099,0,,,
47504100,0,,,
47504101,0,,,
47504102,0,,,
47504103,0,,,
47504104,0,,,
47504105,0,,,
47504106,0,,,
47504107,0,,,
47504108,0,,,
47504109,0,,,
47504110,0,,,
47504111,0,,,
47504112,0,,,
47504113,0,,,
47504114,0,,,
47504115,0,,,
47504116,0,,,
47504117,0,,,
47504118,0,,,
47504119,0,,,
47504120,0,,,
47504121,0,,,
47504122,0,,,
47504123,0,,,
47504124,0,,,
47504125,0,,,
47504126,0,,,
47504127,0,,,
47504128,0,,,
47504129,0,,,
47504130,0,,,
47504131,0,,,
47504132,0,,,
47504133,0,,,
47504134,0,,,
47504135,0,,,
47504136,0,,,
47504137,0,,,
47504138,0,,,
47504139,0,,,
47504140,0,,,
47504141,0,,,
47504142,0,,,
47504143,0,,,
47504144,0,,,
47504145,0,,,
47504146,0,,,
47504147,0,,,
47504148,0,,,
47504149,0,,,
47504150,0,,,
47504151,0,,,
47504152,0,,,
47504153,0,,,
47504154,0,,,
47504155,0,,,
47504156,0,,,
47504157,0,,,
47504158,0,,,
47504159,0,,,
47504160,0,,,
47504161,0,,,
47504162,0,,,
47504163,0,,,
47504164,0,,,
47504165,0,,,
47504166,0,,,
47504167,0,,,
47504168,0,,,
47504169,0,,,
47504170,0,,,
47504171,0,,,
47504172,0,,,
47504173,0,,,
47504174,0,,,
47504175,0,,,
47504176,0,,,
47504177,0,,,
47504178,0,,,
47504179,0,,,
47504180,0,,,
47504181,0,,,
47504182,0,,,
47504183,0,,,
47504184,0,,,
47504185,0,,,
47504186,0,,,
47504187,0,,,
47504188,0,,,
47504189,0,,,
47504190,0,,,
47504191,0,,,
47504192,0,,,
47504193,0,,,
47504194,0,,,
47504195,0,,,
47504196,0,,,
47504197,0,,,
47504198,0,,,
47504199,0,,,
47504200,0,,,
47504201,0,,,
47504202,0,,,
47504203,0,,,
47504204,0,,,
47504205,0,,,
47504206,0,,,
47504207,0,,,
47504208,0,,,
47504209,0,,,
47504210,0,,,
47504211,0,,,
47504212,0,,,
47504213,0,,,
47504214,0,,,
47504215,0,,,
47504216,0,,,
47504217,0,,,
47504218,0,,,
47504219,0,,,
47504220,0,,,
47504221,0,,,
47504222,0,,,
47504223,0,,,
47504224,0,,,
47504225,0,,,
47504226,0,,,
47504227,0,,,
47504228,0,,,
47504229,0,,,
47504230,0,,,
47504231,0,,,
47504232,0,,,
47504233,0,,,
47504234,0,,,
47504235,0,,,
47504236,0,,,
47504237,0,,,
47504238,0,,,
47504239,0,,,
47504240,0,,,
47504241,0,,,
47504242,0,,,
47504243,0,,,
47504244,0,,,
47504245,0,,,
47504246,0,,,
47504247,0,,,
47504248,0,,,
47504249,0,,,
47504250,0,,,
47504251,0,,,
47504252,0,,,
47504253,0,,,
47504254,0,,,
47504255,0,,,
47504256,0,,,
47504257,0,,,
47504258,0,,,
47504259,0,,,
47504260,0,,,
47504261,0,,,
47504262,0,,,
47504263,0,,,
47504264,0,,,
47504265,0,,,
47504266,0,,,
47504267,0,,,
47504268,0,,,
47504269,0,,,
47504270,0,,,
47504271,0,,,
47504272,0,,,
47504273,0,,,
47504274,0,,,
47504275,0,,,
47504276,0,,,
47504277,0,,,
47504278,0,,,
47504279,0,,,
47504280,0,,,
47504281,0,,,
47504282,0,,,
47504283,0,,,
47504284,0,,,
47504285,0,,,
47504286,0,,,
47504287,0,,,
47504288,0,,,
47504289,0,,,
47504290,0,,,
47504291,0,,,
47504292,0,,,
47504293,0,,,
47504294,0,,,
47504295,0,,,
47504296,0,,,
47504297,0,,,
47504298,0,,,
47504299,0,,,
47504300,0,,,
47504301,0,,,
47504302,0,,,
47504303,0,,,
47504304,0,,,
47504305,0,,,
47504306,0,,,
47504307,0,,,
47504308,0,,,
47504309,0,,,
47504310,0,,,
47504311,0,,,
47504312,0,,,
47504313,0,,,
47504314,0,,,
47504315,0,,,
47504316,0,,,
47504317,0,,,
47504318,0,,,
47504319,0,,,
47504320,0,,,
47504321,0,,,
47504322,0,,,
47504323,0,,,
47504324,0,,,
47504325,0,,,
47504326,0,,,
47504327,0,,,
47504328,0,,,
47504329,0,,,
47504330,0,,,
47504331,0,,,
47504332,0,,,
47504333,0,,,
47504334,0,,,
47504335,0,,,
47504336,0,,,
47504337,0,,,
47504338,0,,,
47504339,0,,,
47504340,0,,,
47504341,0,,,
47504342,0,,,
47504343,0,,,
47504344,0,,,
47504345,0,,,
47504346,0,,,
47504347,0,,,
47504348,0,,,
47504349,0,,,
47504350,0,,,
47504351,0,,,
47504352,0,,,
47504353,0,,,
47504354,0,,,
47504355,0,,,
47504356,0,,,
47504357,0,,,
47504358,0,,,
47504359,0,,,
47504360,0,,,
47504361,0,,,
47504362,0,,,
47504363,0,,,
47504364,0,,,
47504365,0,,,
47504366,0,,,
47504367,0,,,
47504368,0,,,
47504369,0,,,
47504370,0,,,
47504371,0,,,
47504372,0,,,
47504373,0,,,
47504374,0,,,
47504375,0,,,
47504376,0,,,
47504377,0,,,
47504378,0,,,
47504379,0,,,
47504380,0,,,
47504381,0,,,
47504382,0,,,
47504383,0,,,
47504384,0,,,
47504385,0,,,
47504386,0,,,
47504387,0,,,
47504388,0,,,
47504389,0,,,
47504390,0,,,
47504391,0,,,
47504392,0,,,
47504393,0,,,
47504394,0,,,
47504395,0,,,
47504396,0,,,
47504397,0,,,
47504398,0,,,
47504399,0,,,
47504400,0,,,
47504401,0,,,
47504402,0,,,
47504403,0,,,
47504404,0,,,
47504405,0,,,
47504406,0,,,
47504407,0,,,
47504408,0,,,
47504409,0,,,
47504410,0,,,
47504411,0,,,
47504412,0,,,
47504413,0,,,
47504414,0,,,
47504415,0,,,
47504416,0,,,
47504417,0,,,
47504418,0,,,
47504419,0,,,
47504420,0,,,
47504421,0,,,
47504422,0,,,
47504423,0,,,
47504424,0,,,
47504425,0,,,
47504426,0,,,
47504427,0,,,
47504428,0,,,
47504429,0,,,
47504430,0,,,
47504431,0,,,
47504432,0,,,
47504433,0,,,
47504434,0,,,
47504435,0,,,
47504436,0,,,
47504437,0,,,
47504438,0,,,
47504439,0,,,
47504440,0,,,
