col1,co2,Columna1,Columna2,Columna2
08129839,0,,,
08129840,0,,,
08129841,0,,,
08129842,0,,,
08129843,0,,,
08129844,0,,,
08129845,0,,,
08129846,0,,,
08129847,0,,,
08129848,0,,,
08129849,0,,,
08129850,0,,,
08129851,0,,,
08129852,0,,,
08129853,0,,,
08129854,0,,,
08129855,0,,,
08129856,0,,,
08129857,0,,,
08129858,0,,,
08129859,0,,,
08129860,0,,,
08129861,0,,,
08129862,0,,,
08129863,0,,,
08129864,0,,,
08129865,0,,,
08129866,0,,,
08129867,0,,,
08129868,0,,,
08129869,0,,,
08129870,0,,,
08129871,0,,,
08129872,0,,,
08129873,0,,,
08129874,0,,,
08129875,0,,,
08129876,0,,,
08129877,0,,,
08129878,0,,,
08129879,0,,,
08129880,0,,,
08129881,0,,,
08129882,0,,,
08129883,0,,,
08129884,0,,,
08129885,0,,,
08129886,0,,,
08129887,0,,,
08129888,0,,,
08129889,0,,,
08129890,0,,,
08129891,0,,,
08129892,0,,,
08129893,0,,,
08129894,0,,,
08129895,0,,,
08129896,0,,,
08129897,0,,,
08129898,0,,,
08129899,0,,,
08129900,0,,,
08129901,0,,,
08129902,0,,,
08129903,0,,,
08129904,0,,,
08129905,0,,,
08129906,0,,,
08129907,0,,,
08129908,0,,,
08129909,0,,,
08129910,0,,,
08129911,0,,,
08129912,0,,,
08129913,0,,,
08129914,0,,,
08129915,0,,,
08129916,0,,,
08129917,0,,,
08129918,0,,,
08129919,0,,,
08129920,0,,,
08129921,0,,,
08129922,0,,,
08129923,0,,,
08129924,0,,,
08129925,0,,,
08129926,0,,,
08129927,0,,,
08129928,0,,,
08129929,0,,,
08129930,0,,,
08129931,0,,,
08129932,0,,,
08129933,0,,,
08129934,0,,,
08129935,0,,,
08129936,0,,,
08129937,0,,,
08129938,0,,,
08129939,0,,,
08129940,0,,,
08129941,0,,,
08129942,0,,,
08129943,0,,,
08129944,0,,,
08129945,0,,,
08129946,0,,,
08129947,0,,,
08129948,0,,,
08129949,0,,,
08129950,0,,,
08129951,0,,,
08129952,0,,,
08129953,0,,,
08129954,0,,,
08129955,0,,,
08129956,0,,,
08129957,0,,,
08129958,0,,,
08129959,0,,,
08129960,0,,,
08129961,0,,,
08129962,0,,,
08129963,0,,,
08129964,0,,,
08129965,0,,,
08129966,0,,,
08129967,0,,,
08129968,0,,,
08129969,0,,,
08129970,0,,,
08129971,0,,,
08129972,0,,,
08129973,0,,,
08129974,0,,,
08129975,0,,,
08129976,0,,,
08129977,0,,,
08129978,0,,,
08129979,0,,,
08129980,0,,,
08129981,0,,,
08129982,0,,,
08129983,0,,,
08129984,0,,,
08129985,0,,,
08129986,0,,,
08129987,0,,,
08129988,0,,,
08129989,0,,,
08129990,0,,,
08129991,0,,,
08129992,0,,,
08129993,0,,,
08129994,0,,,
08129995,0,,,
08129996,0,,,
08129997,0,,,
08129998,0,,,
08129999,0,,,
08130000,0,,,
08130001,0,,,
08130002,0,,,
08130003,0,,,
08130004,0,,,
08130005,0,,,
08130006,0,,,
08130007,0,,,
08130008,0,,,
08130009,0,,,
08130010,0,,,
08130011,0,,,
08130012,0,,,
08130013,0,,,
08130014,0,,,
08130015,0,,,
08130016,0,,,
08130017,0,,,
08130018,0,,,
08130019,0,,,
08130020,0,,,
08130021,0,,,
08130022,0,,,
08130023,0,,,
08130024,0,,,
08130025,0,,,
08130026,0,,,
08130027,0,,,
08130028,0,,,
08130029,0,,,
08130030,0,,,
08130031,0,,,
08130032,0,,,
08130033,0,,,
08130034,0,,,
08130035,0,,,
08130036,0,,,
08130037,0,,,
08130038,0,,,
08130039,0,,,
08130040,0,,,
08130041,0,,,
08130042,0,,,
08130043,0,,,
08130044,0,,,
08130045,0,,,
08130046,0,,,
08130047,0,,,
08130048,0,,,
08130049,0,,,
08130050,0,,,
08130051,0,,,
08130052,0,,,
08130053,0,,,
08130054,0,,,
08130055,0,,,
08130056,0,,,
08130057,0,,,
08130058,0,,,
08130059,0,,,
08130060,0,,,
08130061,0,,,
08130062,0,,,
08130063,0,,,
08130064,0,,,
08130065,0,,,
08130066,0,,,
08130067,0,,,
08130068,0,,,
08130069,0,,,
08130070,0,,,
08130071,0,,,
08130072,0,,,
08130073,0,,,
08130074,0,,,
08130075,0,,,
08130076,0,,,
08130077,0,,,
08130078,0,,,
08130079,0,,,
08130080,0,,,
08130081,0,,,
08130082,0,,,
08130083,0,,,
08130084,0,,,
08130085,0,,,
08130086,0,,,
08130087,0,,,
08130088,0,,,
08130089,0,,,
08130090,0,,,
08130091,0,,,
08130092,0,,,
08130093,0,,,
08130094,0,,,
08130095,0,,,
08130096,0,,,
08130097,0,,,
08130098,0,,,
08130099,0,,,
08130100,0,,,
08130101,0,,,
08130102,0,,,
08130103,0,,,
08130104,0,,,
08130105,0,,,
08130106,0,,,
08130107,0,,,
08130108,0,,,
08130109,0,,,
08130110,0,,,
08130111,0,,,
08130112,0,,,
08130113,0,,,
08130114,0,,,
08130115,0,,,
08130116,0,,,
08130117,0,,,
08130118,0,,,
08130119,0,,,
08130120,0,,,
08130121,0,,,
08130122,0,,,
08130123,0,,,
08130124,0,,,
08130125,0,,,
08130126,0,,,
08130127,0,,,
08130128,0,,,
08130129,0,,,
08130130,0,,,
08130131,0,,,
08130132,0,,,
08130133,0,,,
08130134,0,,,
08130135,0,,,
08130136,0,,,
08130137,0,,,
08130138,0,,,
08130139,0,,,
08130140,0,,,
08130141,0,,,
08130142,0,,,
08130143,0,,,
08130144,0,,,
08130145,0,,,
08130146,0,,,
08130147,0,,,
08130148,0,,,
08130149,0,,,
08130150,0,,,
08130151,0,,,
08130152,0,,,
08130153,0,,,
08130154,0,,,
08130155,0,,,
08130156,0,,,
08130157,0,,,
08130158,0,,,
08130159,0,,,
08130160,0,,,
08130161,0,,,
08130162,0,,,
08130163,0,,,
08130164,0,,,
08130165,0,,,
08130166,0,,,
08130167,0,,,
08130168,0,,,
08130169,0,,,
08130170,0,,,
08130171,0,,,
08130172,0,,,
08130173,0,,,
08130174,0,,,
08130175,0,,,
08130176,0,,,
08130177,0,,,
08130178,0,,,
08130179,0,,,
08130180,0,,,
08130181,0,,,
08130182,0,,,
08130183,0,,,
08130184,0,,,
08130185,0,,,
08130186,0,,,
08130187,0,,,
08130188,0,,,
08130189,0,,,
08130190,0,,,
08130191,0,,,
08130192,0,,,
08130193,0,,,
08130194,0,,,
08130195,0,,,
08130196,0,,,
08130197,0,,,
08130198,0,,,
08130199,0,,,
08130200,0,,,
08130201,0,,,
08130202,0,,,
08130203,0,,,
08130204,0,,,
08130205,0,,,
08130206,0,,,
08130207,0,,,
08130208,0,,,
08130209,0,,,
08130210,0,,,
08130211,0,,,
08130212,0,,,
08130213,0,,,
08130214,0,,,
08130215,0,,,
08130216,0,,,
08130217,0,,,
08130218,0,,,
08130219,0,,,
08130220,0,,,
08130221,0,,,
08130222,0,,,
08130223,0,,,
08130224,0,,,
08130225,0,,,
08130226,0,,,
08130227,0,,,
08130228,0,,,
08130229,0,,,
08130230,0,,,
08130231,0,,,
