co1,co2,Columna1,Columna2,Columna2
08229839,0,,,
08229840,0,,,
08229841,0,,,
08229842,0,,,
08229843,0,,,
08229844,0,,,
08229845,0,,,
08229846,0,,,
08229847,0,,,
08229848,0,,,
08229849,0,,,
08229850,0,,,
08229851,0,,,
08229852,0,,,
08229853,0,,,
08229854,0,,,
08229855,0,,,
08229856,0,,,
08229857,0,,,
08229858,0,,,
08229859,0,,,
08229860,0,,,
08229861,0,,,
08229862,0,,,
08229863,0,,,
08229864,0,,,
08229865,0,,,
08229866,0,,,
08229867,0,,,
08229868,0,,,
08229869,0,,,
08229870,0,,,
08229871,0,,,
08229872,0,,,
08229873,0,,,
08229874,0,,,
08229875,0,,,
08229876,0,,,
08229877,0,,,
08229878,0,,,
08229879,0,,,
08229880,0,,,
08229881,0,,,
08229882,0,,,
08229883,0,,,
08229884,0,,,
08229885,0,,,
08229886,0,,,
08229887,0,,,
08229888,0,,,
08229889,0,,,
08229890,0,,,
08229891,0,,,
08229892,0,,,
08229893,0,,,
08229894,0,,,
08229895,0,,,
08229896,0,,,
08229897,0,,,
08229898,0,,,
08229899,0,,,
08229900,0,,,
08229901,0,,,
08229902,0,,,
08229903,0,,,
08229904,0,,,
08229905,0,,,
08229906,0,,,
08229907,0,,,
08229908,0,,,
08229909,0,,,
08229910,0,,,
08229911,0,,,
08229912,0,,,
08229913,0,,,
08229914,0,,,
08229915,0,,,
08229916,0,,,
08229917,0,,,
08229918,0,,,
08229919,0,,,
08229920,0,,,
08229921,0,,,
08229922,0,,,
08229923,0,,,
08229924,0,,,
08229925,0,,,
08229926,0,,,
08229927,0,,,
08229928,0,,,
08229929,0,,,
08229930,0,,,
08229931,0,,,
08229932,0,,,
08229933,0,,,
08229934,0,,,
08229935,0,,,
08229936,0,,,
08229937,0,,,
08229938,0,,,
08229939,0,,,
08229940,0,,,
08229941,0,,,
08229942,0,,,
08229943,0,,,
08229944,0,,,
08229945,0,,,
08229946,0,,,
08229947,0,,,
08229948,0,,,
08229949,0,,,
08229950,0,,,
08229951,0,,,
08229952,0,,,
08229953,0,,,
08229954,0,,,
08229955,0,,,
08229956,0,,,
08229957,0,,,
08229958,0,,,
08229959,0,,,
08229960,0,,,
08229961,0,,,
08229962,0,,,
08229963,0,,,
08229964,0,,,
08229965,0,,,
08229966,0,,,
08229967,0,,,
08229968,0,,,
08229969,0,,,
08229970,0,,,
08229971,0,,,
08229972,0,,,
08229973,0,,,
08229974,0,,,
08229975,0,,,
08229976,0,,,
08229977,0,,,
08229978,0,,,
08229979,0,,,
08229980,0,,,
08229981,0,,,
08229982,0,,,
08229983,0,,,
08229984,0,,,
08229985,0,,,
08229986,0,,,
08229987,0,,,
08229988,0,,,
