ca1,co2,Columna1,Columna2,Columna2
08329839,0,,,
08329840,0,,,
08329841,0,,,
08329842,0,,,
08329843,0,,,
08329844,0,,,
08329845,0,,,
08329846,0,,,
08329847,0,,,
08329848,0,,,
08329849,0,,,
08329850,0,,,
08329851,0,,,
08329852,0,,,
08329853,0,,,
08329854,0,,,
08329855,0,,,
08329856,0,,,
08329857,0,,,
08329858,0,,,
08329859,0,,,
08329860,0,,,
08329861,0,,,
08329862,0,,,
08329863,0,,,
08329864,0,,,
08329865,0,,,
08329866,0,,,
08329867,0,,,
08329868,0,,,
08329869,0,,,
08329870,0,,,
08329871,0,,,
08329872,0,,,
08329873,0,,,
08329874,0,,,
08329875,0,,,
08329876,0,,,
08329877,0,,,
08329878,0,,,
08329879,0,,,
08329880,0,,,
08329881,0,,,
08329882,0,,,
08329883,0,,,
08329884,0,,,
08329885,0,,,
08329886,0,,,
08329887,0,,,
08329888,0,,,
08329889,0,,,
08329890,0,,,
08329891,0,,,
08329892,0,,,
08329893,0,,,
08329894,0,,,
08329895,0,,,
08329896,0,,,
08329897,0,,,
08329898,0,,,
08329899,0,,,
08329900,0,,,
08329901,0,,,
08329902,0,,,
08329903,0,,,
08329904,0,,,
08329905,0,,,
08329906,0,,,
08329907,0,,,
08329908,0,,,
08329909,0,,,
08329910,0,,,
08329911,0,,,
08329912,0,,,
08329913,0,,,
08329914,0,,,
08329915,0,,,
08329916,0,,,
08329917,0,,,
08329918,0,,,
08329919,0,,,
08329920,0,,,
08329921,0,,,
08329922,0,,,
08329923,0,,,
08329924,0,,,
08329925,0,,,
08329926,0,,,
08329927,0,,,
08329928,0,,,
08329929,0,,,
08329930,0,,,
08329931,0,,,
08329932,0,,,
08329933,0,,,
08329934,0,,,
08329935,0,,,
08329936,0,,,
08329937,0,,,
08329938,0,,,
08329939,0,,,
08329940,0,,,
08329941,0,,,
08329942,0,,,
08329943,0,,,
08329944,0,,,
08329945,0,,,
08329946,0,,,
08329947,0,,,
08329948,0,,,
08329949,0,,,
08329950,0,,,
08329951,0,,,
08329952,0,,,
08329953,0,,,
08329954,0,,,
08329955,0,,,
08329956,0,,,
08329957,0,,,
08329958,0,,,
08329959,0,,,
08329960,0,,,
08329961,0,,,
08329962,0,,,
08329963,0,,,
08329964,0,,,
08329965,0,,,
08329966,0,,,
08329967,0,,,
08329968,0,,,
08329969,0,,,
08329970,0,,,
08329971,0,,,
08329972,0,,,
08329973,0,,,
08329974,0,,,
08329975,0,,,
08329976,0,,,
08329977,0,,,
08329978,0,,,
08329979,0,,,
08329980,0,,,
08329981,0,,,
08329982,0,,,
08329983,0,,,
